"Date","Distress","External.factors","Personal.Illness","total.Humi","total.temp","total.wind","total.rain","total.dew","total.snow","snow_YN"
2013010313,"1","1","0",34.5,-12.725,3,0,-23,11.25,1
2013010512,"1","1","0",46.25,-5.675,1.775,0,-14.65,8.925,1
2013011617,"0","1","0",62.25,-2.9,2.475,0,-7.35,3.7,1
2013011911,"1","1","0",59.5,-0.3,1.8,0,-6,3.525,1
2013011912,"1","0","0",55,0.7,1.4,0,-5,3.45,1
2013011915,"1","1","0",46.5,1.875,1.9,0,-6.1,3.075,1
2013012015,"1","1","0",44,2.425,1.725,0,-6.55,2.425,1
2013012015,"1","1","0",44,2.425,1.725,0,-6.55,2.425,1
2013012016,"1","0","0",43.75,2.55,1.8,0,-6.475,2.3,1
2013012215,"1","0","0",71,2.95,0.925,0,0.25,0,0
2013012612,"1","1","0",31.5,-10.125,2.525,0,-21.575,0,0
2013012711,"0","1","0",53.25,-8.35,2.95,0,-14.575,0.2,1
2013012714,"1","1","0",42.25,-7.225,3.525,0,-15.575,0,0
2013012715,"0","1","0",38.5,-6.65,3.65,0,-15.725,0,0
2013012914,"1","1","0",61.5,2.1,2.425,0,-2.925,0,0
2013020212,"0","1","0",48.75,-1.7,3.1,0,-8.475,0,0
2013020215,"0","1","0",32,-0.575,3,0,-12.825,0,0
2013020216,"1","0","0",34.5,-0.45,3.475,0,-11.625,0,0
2013020216,"0","0","0",34.5,-0.45,3.475,0,-11.625,0,0
2013020312,"1","1","0",45.5,-2.375,1.775,0,-12.125,0,0
2013020314,"1","1","0",38.75,-1.45,1.125,0,-13.375,0,0
2013020717,"1","1","0",34.5,-13.1,4.15,0,-22.8,12.7,1
2013020918,"0","0","0",51.25,-6.575,1.225,0,-12.6,12.2,1
2013021516,"0","1","0",21.25,-1.8,3.95,0,-18.525,4.3,1
2013021612,"1","1","0",25.5,-2.8,1.175,0,-18.175,4.1,1
2013021614,"0","1","0",23.25,-0.625,0.825,0,-17.4,3.8,1
2013021615,"1","1","0",19.5,-0.95,1.15,0,-18.75,3.6,1
2013021615,"0","1","0",19.5,-0.95,1.15,0,-18.75,3.6,1
2013021713,"1","1","0",30,2.65,2.25,0,-11.3,2.7,1
2013021714,"0","0","0",29.5,3.175,2.075,0,-11.275,2.1,1
2013022111,"1","1","0",54.75,-3.55,1.8,0,-8.75,0,0
2013022117,"1","0","0",28,-0.45,2.925,0,-14.25,0,0
2013022218,"0","0","0",38.5,-0.975,3.8,0,-13,0,0
2013022313,"1","1","0",28.75,-0.925,3.325,0,-14.575,0,0
2013022314,"1","1","0",31.75,-0.1,3.4,0,-12.775,0,0
2013022413,"0","1","0",22.5,2.325,2.3,0,-15.075,0,0
2013022414,"1","1","0",24,2.4,2.875,0,-14,0,0
2013022415,"1","1","0",21.75,2.675,2.15,0,-15.3,0,0
2013022415,"1","0","0",21.75,2.675,2.15,0,-15.3,0,0
2013022415,"1","0","0",21.75,2.675,2.15,0,-15.3,0,0
2013022415,"1","0","0",21.75,2.675,2.15,0,-15.3,0,0
2013022710,"0","0","0",79,1.725,1.7,0,-0.975,0,0
2013022713,"1","1","0",47.25,5.3,1.4,0,-2.6,0,0
2013022717,"1","0","0",52.25,5.45,2.525,0,-2.6,0,0
2013030111,"0","1","0",52.5,-2.125,3.85,0,-7.8,0,0
2013030112,"1","0","0",46,-1.375,4.225,0,-9,0,0
2013030115,"1","0","0",38.5,-0.575,3.925,0,-10.7,0,0
2013030313,"0","0","0",28.25,0.825,2.825,0,-13.425,0,0
2013030411,"0","1","0",64.5,0.75,2.525,0,-2.175,0,0
2013030415,"1","1","0",35.25,5.25,3.525,0,-6.3,0,0
2013030515,"1","0","0",27.25,6.7,2.45,0,-8.775,0,0
2013030910,"0","0","0",46.75,13.45,4.575,0,0.925,0,0
2013030914,"0","0","0",20.75,19.75,4.775,0,-1,0,0
2013030915,"1","0","0",25,20.85,4.55,0,2.525,0,0
2013030917,"1","1","0",28.75,19.775,4.9,0,3.45,0,0
2013030918,"1","0","1",34.25,17.825,5.125,0,4.2,0,0
2013030919,"0","0","0",40,16.425,5.6,0,5.2,0,0
2013031009,"1","1","0",32.75,-2,3.4,0,-14.625,0,0
2013031014,"1","1","0",20.5,2.775,2.975,0,-15.45,0,0
2013031016,"1","0","0",20,4.025,2.75,0,-14.85,0,0
2013031015,"0","1","0",20.75,3.275,2.725,0,-15,0,0
2013031415,"1","0","0",33.5,7,2.125,0,-6.1,0,0
2013031615,"0","1","0",28,10.3,1.65,0,-5.725,0,0
