CommandName,CenterName,Date,Cause,Location,Overview,total.Humi,total.temp,total.wind,total.rain,total.dew,total.snow
통영소방서,소방정대,2018060316,일반조난,기타 산(정상),"가마봉 아래 50미터 지점 아래 급경사 낭떠러지에서 길을 잃은 상태에서 발목부상/n/n 소방정대 대항 도착한 바 바위 낭떠러지에서 길을 잃고 거동이 힘들어 앉아 있는 것을 발견하고 요구조자에게 접근함과 헬기 이송요청 및 의소대 지원요청함, 헬기 구조시도하였으나 안개로 구조불가하여 헬기복귀함, 옥동방향에서 등반한 의소대원과 가마봉정상에서 내려온 구조대원 협력하여 요구조자 구조 완료 후 하산함. 금북개 요구조자 차량이 있는 곳까지 의소대원이 이송하여 , 요구조자 자차로 안전하게 동함에 따라 소방정 철수함",45,25.55,2.05,0,13.05,0
산청소방서,산악구조대,2016110509,일반조난,산기타,○ 09:57 종합상황실로부터 신고접수/n   ○ 09:58 신고자와 통화하여 위치확인 및 상황파악/n   ○ 09:59 심정지 환자 자발순환 회복 무전접수./n   ○ 10:21 헬기 출동 요청/n   ○ 10:25 구조대원 등산로 입구 도착/등반 시작/n   ○ 11:16 등반 중 전북헬기도착 및 인계 확인/n   ○ 11:18 산악구조대원 하산시작/n   ○ 13:12 인원장비 이상없이 귀소함./n,79.5,12.25,1.65,0,8.2,0
남해소방서,상주119지역대,2015062111,개인질환,정상,-11:43 신고접수 /n   -11:47 현장출동 및 헬기요청 /n   -11:55 헬기출동/n   -12:33 상주 구급대 현장 도착 한 바 환자 심정지상태로 즉시 CPR 및 AED 적용/n   -12:42 현장 CPR 및 AED 종료 후 주위일행 6명과 함께 들것으로 구급차로 이동/n   -13:00 환자 구급차 환자 탑승 및 남해병원으로 이송 실시                /n   -13:19 병원 도착 및 의료진 인계/n   -14:30 귀소,73.5,20,1.1,0.25,16.4,0
산청소방서,산악구조대,2014092011,실족추락,산기타,○ 11:08 구조대원 3명 출동함./n  ○ 11:25 구조대원 3명 환경교육원 도착. 등반 시작./n  ○ 11:38 환경교육원에서 법계사 방향 500m 지점 환자 발견. /n  ○11:44 응급처치 후 진주 바른병원 이송 시작./n  ○ 14:00 구조대원 3명 귀소함./n/n,58.5,20.45,2.55,0,15.1,0
산청소방서,산악구조대,2015081812,일반조난,산기타,"○ 12:31 신고접수 및 출동/n  ○ 12:32 국립공원 직원에게 환자상태 및 기상상태 확인 차 협조요청 함/n  ○ 12:45 구조대원 산청분소 도착, 국립공원 직원과 구조협의 후 등반시작/n  ○ 13:40 국립공원 직원, 요구조자와 만나 환자상태 확인한바 헬기지원은 필요 없을 것 같고 응급처치 시행 후 자력하산 가능하다는 통보받고 구조대원 하산 시작./n  ○ 14:28 산악구조대 인원,장비 이상없이 귀소함./n",58,24.5,2.55,0,18.3,0
통영소방서,소방정대,2014051812,산악기타,산기타,"○ 12:37 출동지령, 경남 707호 출항/n  ○ 13:16 사량도 여객선 터미널 도착 /n           안전장비 지참하여 신고자 위치로 출발./n  ○ 13:45 현장 도착. 부목고정 응급처치 후 하산/n  ○ 14:02 사량도 여객선 터미널 이송./n  ○ 14:37 정대 계류장으로 귀소함.",43,22.75,3.05,0,10.1,0
산청소방서,산악구조대,2014101913,일반조난,산기타,"○ 13:29 신고접수 후 산악구조대원 출동 함./n  ○ 13:30 신고자 연락하여 환자상태 및 위치확인함./n  ○ 13:49 구조대원 거림매표소도착 후 등반실시함./n  ○ 13:51 구조대원 등반중 요구조자 헬기이송 연락받고 하산실시함./n  ○ 14:20 인원,장비 이상없이 귀소함./n",43.5,20.4,3.1,0,9.05,0
산청소방서,산악구조대,2015052314,실족추락,산기타,"○ 14:55 상황실로부터 출동지령 접수 및 국립공원 협조 요청 후 출동/n  ○ 15:20 구조대원 환경교육원 도착, 등반시작      /n  ○ 16:00 로터리대피소 밑 6-10지점에서 요구자발견./n  ○ 16:10 발목부위 응급처치 후 하산시작/n  ○ 17:00 중산리 매표소 주차장 도착 자차로 귀가 조치./n  ○ 17:25 구조대원 인원,장비 이상없이 귀소함./n",53,22.15,1.55,0,11.5,0
산청소방서,산악구조대,2014110915,일반조난,정상,"○ 15:38 : 상황실로부터 출동지령 받음/n  ○ 15:39 : 요구조자, 장터목대피소 직원과 통화하여 사고장소, 상황파악 후 요구조자 좌측발목골절로 인해 자진 하산이 어렵고 구조대원이 올라가기에 시간이 많이 걸려 신속한 응급처치가 어려울 것으로 판단, 상황실에 헬기 이송 요청함./n  ○ 15:40 : 상황실로부터 헬기 이륙했다는 통보 받고 구조대원 인원,장비 이상없이 귀소함./n",47,17.15,1.8,0,5.25,0
산청소방서,산악구조대,2014102516,일반조난,산기타,"○ 16:16 : 추가출동신고 접수 및 출동함/n  ○ 16:17 : 신고자와 통화하여 상황파악 및 위치확인./n  ○ 16:20 : 구조대원 등반중 환자 상태호전 되었다는 접수 후 하산시작 /n  ○ 16:38: 구조대원 인원,장비 이상없이 귀소함./n",48.5,20.8,0.75,0,9.65,0
산청소방서,산악구조대,2015011116,실족추락,산기타,"○ 16:26 상황실 신고 접수함./n  ○ 16:28 상황실로부터 출동 지령받고, 신고자와 연락하여 환자상태, 위치등 상황파악함./n  ○ 16:50  법계교 도착, 등반하려는 도중 법계교 인근에서 실족부상환자 1명 추가로 발생하여 응급처치 후 휴게소에서 대기하도록 하고 구조대원 등반시작./n  ○ 17:00 등반도중 요구조자 만나 응급처치 후 하산시작./n  ○ 17:10 법계교 인근 부상환자와 같이 환자 2명 병원 이송시작./n  ○ 17:55 경상대병원 도착/n  ○ 19:00 구조대원 인원,장비 이상없",31,4.9,3,0,-10.35,0
산청소방서,산악구조대,2015050517,일반조난,산기타,"○ 17:19 신고접수후 산악구조대원 2명 출동함./n  ○ 17:20 국립공원에 상황 전파하여 현장 확인 및 출동조치함. /n  ○ 18:24 조난예상되어 산청센터 구조대원 3명 지원 요청 출동함. /n  ○ 19:10 사고현장의 요구조자 통화되어 위치 확인함./n  ○ 19:10 요구조자 부상없이 확인,산청센터 구조대원 3명 귀소/n           조치함./n  ○ 19:50 요구조자 무제치기 부근에서 조우 및 하산 시작함. /n  ○ 21:05 산악구조대원2명 귀소함.",30.5,20.4,2.15,0,1.8,0
통영소방서,소방정대,2014051815,산악기타,산기타,"○15:05 경남 707호 출항/n  ○15:38 사량도 여객선 터미널 도착 /n           안전장비 및 구급장비 지참하여 신고자 위치로 출발./n  ○15:55 요구조자 접촉,상처 지혈 및 드레싱 응급처치 후 함께 하산./n  ○16:20 현장출발  /n  ○16:45 고성군 하일면 맥전포항 이송 및 사천동금구대에 환자 인계/n  ○17:39 정대 계류장으로 귀소함.",40,21.8,3.3,0,8.85,0
거창소방서,구조대,2018053012,실족추락,기타 산(능선),#NAME?,64,24.75,2.2,0,17.45,0
거창소방서,구조대,2018110412,산악기타,기타 산(능선),#NAME?,35,17.5,1.8,0,2.15,0
합천소방서,(구)야로119지역대,2016092210,일반조난,능선,#NAME?,71,17.9,1.15,0,15.35,0
119특수구조단,항공구조구급대,2018060211,탈진탈수,국·도·군립공원(정상),상기 탈진 및 오한으로 구조 요청한 상황임./n현장 도착하여 레펠 진입 및 호이스트 인양구조후 귀대함./n항공대 청사 계류장에서 합천구급에 요구조자 인계후 상황 종료함.,42,27.1,1.45,0,12.55,0
통영소방서,소방정대,2018092911,실족추락,기타 산(정상),#NAME?,72,16.65,1.1,0.25,13.85,0
함양소방서,산악구조대,2018101211,산악기타,국·도·군립공원(능선),"-  산악사고 지령 접수 후 출동중 신고자와 연락취해본바 요구조자 1명 일행들과 벽소령대피소에서 세석방향으로 등산중 양쪽발목 부상으로 거동불가 한 상태./n- 출동중 요구조자 1명 상태호전되어 벽소령대피소 쪽으로 이동하여 연하천삼거리 쪽으로 내려오고 있다는 상황확인 함./n- 산악구조대 등반 시작 한 후 하산중인 국립공원관리공단 직원 1명 및 요구조자 1명 조우하여 요구조자 1명 인계받고 요구조자 응급처치 후 산악구조대 사무실로 인원, 장비 이상없이 귀소하여 보호자에게 인계함.",41,12.7,2.65,0,2.1,0
거창소방서,구조대,2017060109,개인질환,기타 산(계곡),"- 산에서 신체 왼쪽절반 마비증상으로 내려오지 못하는 요구조자가 있다는 신고 접수 후 출동에 임함./n - 현장도착하여 구조배낭으로 요구조자 1명 업고 부축하여 안전구조 실시 후 인원,기타장비 이상없이 귀소함.",79,21.2,1.2,0,17.65,0
양산소방서,구조대,2017011707,실족추락,기타 산(능선),"-  상기장소 요구조자 1명이 산행 중 낙상되어 허리부상을 입은 상황으로 구조대 및 중부분대 현장 도착하여 응급처치 및 산악용 들것을 이용, 하산 완료 후 중부구급대에서 양산부산대학병원으로 이송 조치한 사항임. /n",60.5,-5.85,1,0,-11,0
함양소방서,산악구조대,2015050615,산악기타,산기타,"요구조자가 아버지와 함께 5월6일 성삼재에서 출발하여 세석대피소 방향으로 산행 중 선비샘 부근에서 다리마비를 호소하여 119에 신고한 상황임./n  산악구조대와 국립공원 직원이 선비샘 부근에서 요구조자와 조우하여 응급처치를 실시 후 산악구조배낭을 이용해 요구조자를 업고 구조함./n  요구조자가 자가치료를 원하여 마천면사무소까지 이송 후 인원, 장비 이상없이 귀소함. /n",37,19.2,2.15,0,1.85,0
함양소방서,산악구조대,2015053113,산악기타,계곡,요구조자는 금일 오전 세석대피소에서 출발하여 하산 중 한신계곡 인근에서 양쪽 무릎부위 통증을 호소하며 더 이상 하산이 불가하다 판단하고 119에 구조 요청함./n  위치표지목 11-6~7 지점에서 요구조자 조우하여 응급조치 후 하산하여 자택 인근에서 치료를 원해 백무동 주차장까지 이송 후 귀가 조치. /n,43,24.35,2.3,0,12.7,0
합천소방서,초계119안전센터,2014101714,일반조난,능선,#NAME?,28.5,18.15,1.65,0,1.25,0
거창소방서,신원119지역대,2013032812,개인질환,정상,"추모공원 뒤 야산 정상부근에서 요구조자를 만나 상태확인한 바 두통 및 어지러움증 호소함. 도상황실에서 헬기 요청한 상태로 산 정상부근까지 요구조자를 부축하여 이동, 헬기도착하여 환자 인계함./n",24,15.85,2.6,0,-3.9,0
거창소방서,구조대,2015011016,산악기타,산기타,#NAME?,30,5.25,2.5,0,-9.55,0
통영소방서,소방정대,2018040810,실족추락,기타 산(능선),- 호두마을 인근 해상에서 실종자 수색중 실종자 수색 중 사량도 옥녀봉 산악구조출동 지령 접수하여 이동함./n - 출동중 사량면 산악구조대장 김송치씨에게 유선연락을 취하여 선조치를 취해 줄 것을 요청함./n - 사량도 산악구조대장 김송치 외 2명은 사량도 옥녀봉 등반하여 연막탄을 사용하여 헬기유도를 실시함./n - 소방정 사량도 도착하여 이동중 헬기 도착하여 환자 이송이 완료되는 것을 인지 후 호두마을 실종자 수색에 임하기 위해 한산도 방면으로 이동실시함.,63,4.8,2.85,0,-2,0
남해소방서,상주119지역대,2015110112,일반조난,능선,*하산 도중 발목부상 환자 산 아래까지 들것 이송함/n *환자는 보호자 차량으로 창원권역 병원으로 자차이송함/n,59,10.4,0.85,0,2.4,0
산청소방서,산악구조대,2015080407,일반조난,능선,"○ 07:18 출동지령 접수 및 출동/n  ○ 07:19 장터목대피소 국립공원직원에게 유선연락, 응급처치 후 환자 상태    파악하여 헬기이송 유도  /n  ○ 07:40 구조대원 산청분소 도착, 등반시작/n  ○ 08:00 장터목대피소 국립공원 직원에게 환자와 만나 응급처치 후 대피소            까지 이동 후 헬기이송하겠다는 통보 받음./n  ○ 09:25 헬기 요구조자 구조함/n  ○ 09:43 진주 중앙구급대 경상대 이송한다는 무전 받음.",87,24.05,0.85,0,21.6,0
산청소방서,산악구조대,2015030607,일반조난,정상,"○ 10:49 상황실로부터 인명구조견 수색 지원 출동지령 접수/n ○ 10:55 산청23호, 인명구조견 2두 출동/n ○ 12:15 현장도착/n ○ 12:20 산악구조대 핸들러 2명 인명구조견과 함께 수색시작 /n  ○ 12:35 인근야산 정상에서 인명구조견 요구조자 발견/n  ○ 12:40 환자상태 확인한바 양호하여 사천소방서에 환자 인계 /n",71,-1.65,1.6,0,-4.95,0
산청소방서,산청119안전센터,2015121212,일반조난,산기타,"○ 12:30 산청 구조, 단성구급/n   ○ 14:17 현장도착 응급처치 실시함. /n   ○ 14:30 소방본부 헬기지원 요청/n   ○ 15:03 소방본부 헬기 현장도착 /n   ○ 15:10 산청구급 산청읍 공설운동장에서 환자 인수  /n   ○ 15:20 요구조자 1명 산청의료원 이송 완료함./n   ○ 16:00 산악사고 출동 인원장비 이상없이 귀소함. /n",45,8.7,2.55,0,0.2,0
산청소방서,산악구조대,2015072516,산악기타,산기타,"○ 16:14 출동지령 접수 및 출동/n  ○ 16:40 구조대원 환경교육원 도착, 등반시작/n  ○ 17:10 06-09지점 요구조자 5명 발견, 응급처치 후 무릎통증 환자 업고 하산 시작/n  ○ 18:00 요구조자 안전하산 완료, 자차이송한다하여 계도 후 귀소./n  ○ 18:22 구조대원 인원,장비 이상없이 귀소함./n",68,27,3.1,0,21.95,0
산청소방서,산악구조대,2018101811,탈진탈수,국·도·군립공원(능선),"○11:22 119종합상황실로부터 출동지령 접수./n ○11:23 신고자, 국립공원과 유선연락 후 인원3명 출동함./n ○11:50 인원3명 등반 실시함./n ○13:20 개선문 부근에서 요구조자 조우함./n          부축하여 하산실시함./n ○15:10 하산중 로타리대피소 500m 아래부근에서 탈진 및 다리통증 환자 1명 조우하여 부축하여 하산실시함./n ○16:19 하산 완료./n          요구조자 2명 자차 이용한다함./n ○16:40 산악승합 인원3명 귀소완료함.",46,15.1,1.95,0,5.2,0
