"CommandName","CenterName","Date","Cause","Location","Distress","External.factors","Personal.Illness","Overview","total.Humi","total.temp","total.wind","total.rain","total.dew","total.snow"
"119특수구조단(구)","항공대","2013010313","산악기타","산기타","조난","외부요인","","현기증 호소하며 특이외상없음. 개인요구조자 벨트 사용하여 헬기로 인양함","34.5","-12.725","3","0","-23","11.25"
"119특수구조단(구)","항공대","2013010512","산악기타","산기타","조난","외부요인","","현장도착하여 확인한바 요구조자는 두부열상으로 안전벨트에 결속하여 헬기에 인양후 도봉소방서에서 방하국급에 인계후 상황종료","46.25","-5.675","1.775","0","-14.65","8.925"
"119특수구조단(구)","항공대","2013011617","산악기타","산기타","","외부요인","","도봉소방서 옥상으로 환자 이송 후 방학구급대에 인계함","62.25","-2.9","2.475","0","-7.35","3.7"
"119특수구조단(구)","항공대","2013011911","산악기타","산기타","조난","외부요인","","환자 우측발목통증 부목 고정 후 요구조자 벨트로 헬기 인양 후 도봉소방서 옥상에서 방학구급대 인계함","59.5","-0.3","1.8","0","-6","3.525"
"119특수구조단(구)","항공대","2013011912","산악기타","산기타","조난","","","12:07분 002호기 출동하여 12:14분 현장도착, 북한산악구조대의 주변 통제로 사모바위 헬기장에 안전하게 착륙하여 요구조자 탑승시키고 12:25분 수색비행장에서 수색구급대에 인계후 12:37분 002호기 이상없이 귀대함.","55","0.7","1.4","0","-5","3.45"
"119특수구조단(구)","항공대","2013011915","산악기타","산기타","조난","외부요인","","환자상태 파악 후 부목, 요구조자 안전벨트착용 후 헬기 인양하여 구로고대병원 이송 함","46.5","1.875","1.9","0","-6.1","3.075"
"119특수구조단(구)","항공대","2013012015","산악기타","산기타","조난","외부요인","","서울종합방재센터로부터 인명구조출동 수보후 서울001호기 및 인원 도봉산 원통사 부근 상공에 도착하여 도봉산악구조대 연막신호로 위치확인하고 구조대원 투입 요구조자 부목고정등 응급처치후 헬기에 인양 도봉소방서 헬기장으로 이동 구급대에 인계 귀소함","44","2.425","1.725","0","-6.55","2.425"
"119특수구조단(구)","항공대","2013012015","산악기타","산기타","조난","외부요인","","들것으로 환자 고정 후 헬기로 인양하여 도봉소방서 옥상 도봉구급대 인계함","44","2.425","1.725","0","-6.55","2.425"
"119특수구조단(구)","항공대","2013012016","산악기타","산기타","조난","","","서울종합방재센터로부터 인명구조 수보즉시 서울002호기 및 인원 북한산 향로봉으로 출동, 선도착한 북한산악구조대 연막신호 위치에 구조대원 투입 요구조자 응급조치 후 헬기로 인양 수색비행장으로 이동 구급대에 인계함","43.75","2.55","1.8","0","-6.475","2.3"
"119특수구조단(구)","항공대","2013012215","산악기타","산기타","조난","","","비봉능선부근에서 훈련중 산악구조수보후 신속히 요구조자와 통화하며 현장으로 이동. 10여분만에 요구조자 발견하여 비봉매표소까지 동행하산하여 안전하게 구조완료, 상황종료. ","71","2.95","0.925","0","0.25","0"
"119특수구조단(구)","항공대","2013012612","산악기타","산기타","조난","외부요인","","현장도착 요구조자 상태확인후 부목으로 부상부위 고정 요구조자 안전벨트 이용 헬기에 인양, 수색비행장으로 이동 수색구급대에 인계함","31.5","-10.125","2.525","0","-21.575","0"
"119특수구조단(구)","항공대","2013012711","산악기타","산기타","","외부요인","","도착한바 자력 거동가능하고 호전된 상태임, 부축 안전하산 귀가조치 상황종료.","53.25","-8.35","2.95","0","-14.575","0.2"
"119특수구조단(구)","항공대","2013012714","산악기타","산기타","조난","외부요인","","14:50분 001호기 출동하여 15:00 현장도착, 요구조자 의식이 명료하고 특이사항이 없어 안전벨트를 이용 헬기에 인양후 도봉소방서 옥상에서 15:20분 방학구급대에 인계함.","42.25","-7.225","3.525","0","-15.575","0"
"119특수구조단(구)","항공대","2013012715","산악기타","산기타","","외부요인","","부목 및 압박붕대 이용 응급처치 실시, 들것이용 하산 신교구급대 인계 종료.","38.5","-6.65","3.65","0","-15.725","0"
"119특수구조단(구)","항공대","2013012914","산악기타","산기타","조난","외부요인","","현장도착 상황파악 후 부상부위 부목으로 고정 요구조자안전벨트이용 헬기에 인양, 보라매공원으로 비행 동작구급대에 인계함","61.5","2.1","2.425","0","-2.925","0"
"119특수구조단(구)","항공대","2013020212","산악기타","산기타","","외부요인","","도착하여 붕대 및 부목을 이용하여 응급처치 후 부축하산하여 안전하게 귀가조치 후 이상없이 귀소함","48.75","-1.7","3.1","0","-8.475","0"
"119특수구조단(구)","항공대","2013020215","산악기타","산기타","","외부요인","","붕대 및 부목으로 응급처치 후 안전하게 부축하여 귀가조치하고 이상없이 귀소함","32","-0.575","3","0","-12.825","0"
"119특수구조단(구)","항공대","2013020216","산악기타","산기타","조난","","","16:15분 001호기 출동하여 16:25분 현장도착, 요구조자 안전벨트를 이용, 헬기에 인양후 16:39분 수색비행장에서 수색구급대에 인계후 16:50분 001호기 이상없이 귀대함.","34.5","-0.45","3.475","0","-11.625","0"
"119특수구조단(구)","항공대","2013020216","산악기타","산기타","","","","맨손래담 및 거즈 붕대를 이용하여 안전하게 응급처치 후 급자를 부축하여 안전하게 하산완료하고 상황종료함","34.5","-0.45","3.475","0","-11.625","0"
"119특수구조단(구)","항공대","2013020312","산악기타","산기타","조난","외부요인","","현장 도착 후 부목고정 등 헬기 인양 후 보라매공원으로 이송하여 동작구급대 인계함. 보라매병원 이송함","45.5","-2.375","1.775","0","-12.125","0"
"119특수구조단(구)","항공대","2013020314","산악기타","산기타","조난","외부요인","","14:52분 001호기 출동하여 15:02분 현장도착, 요구조자 부목고정 실시후 요구조자 안전벨트로 헬기에 인양, 잠실헬기장으로 비행실시함. 15:25분 운동장구급대에 요구조자 인계후 15:42분 001호기 이상없이 귀대함. ","38.75","-1.45","1.125","0","-13.375","0"
"119특수구조단(구)","항공대","2013020717","산악기타","산기타","조난","외부요인","","현장도착 상황파악 후 요구조자 부상부위 고정, 요구조자 안전벨트 이용 헬기로 인양, 도봉소방서 옥상에서 방학구급대에 인계함","34.5","-13.1","4.15","0","-22.8","12.7"
"119특수구조단(구)","항공대","2013020918","산악기타","산기타","","","","압박붕대 이용 응급처치, 부축이동 및 본대차량 탑승 하산, 자체귀가 조치함","51.25","-6.575","1.225","0","-12.6","12.2"
"119특수구조단(구)","항공대","2013021516","산악기타","산기타","","외부요인","","혈압 및 호흡상태 확인한바 특이사항없음, 요구조자 의지에 의한 부축 하산 자체귀가 종료.","21.25","-1.8","3.95","0","-18.525","4.3"
"119특수구조단(구)","항공대","2013021612","산악기타","산기타","조난","외부요인","","현장 도착 후 환자 상태 확인하고 부목 고정 후 요구조자 안전벨트로 인양하여 잠실 헬기장 잠실 구급대인계","25.5","-2.8","1.175","0","-18.175","4.1"
"119특수구조단(구)","항공대","2013021614","산악기타","산기타","","외부요인","","전진초소 근무중 하산중이던 요구조자가 직접 방문하여 피로누적으로 인해 발목 및 무릎 통증호소하여 에어파스등으로 응급조치 후 자가용까지 차량으로 이송함. 상황종료.","23.25","-0.625","0.825","0","-17.4","3.8"
"119특수구조단(구)","항공대","2013021615","산악기타","산기타","조난","외부요인","","부목고정 후 요구조자 안전벨트로 인양 후 수색비행장, 수색구급대 - 화정명지병원 이송함","19.5","-0.95","1.15","0","-18.75","3.6"
"119특수구조단(구)","항공대","2013021615","산악기타","산기타","","외부요인","","전진초소부근 암장에서 훈련중 승가사약수터부근 발목골절 산악사고 무전수보후 즉시 출동하여 부목과 붕대로 응급처치후 들것으로 차량까지 이동. 출동차량으로 산밑에서 대기중이던 구급차로 이송 인계. 상황종료.","19.5","-0.95","1.15","0","-18.75","3.6"
"119특수구조단(구)","항공대","2013021713","산악기타","산기타","조난","외부요인","","002호기 출동 14:04분 현장도착하여 대원 투입, 요구조자 좌측 정강이 부목으로 고정후 들것에 결속하여 헬기에 인양, 14:25분 도봉소방서 옥상으로 비행, 14:32분 방학구급대에 인계후 14:47분 002호기 이상없이 귀대함.","30","2.65","2.25","0","-11.3","2.7"
"119특수구조단(구)","항공대","2013021714","산악기타","산기타","","","","1팀장 서상식외 4명승가사 부근 순찰중 상기 급자가 발생하여 에어파스 및 압박붕대를 이용하여 응급처치 후 본인이 집으로 간다고하여 대중교통이용가능 지역까지 이송후 이상없이 귀소함","29.5","3.175","2.075","0","-11.275","2.1"
"119특수구조단(구)","항공대","2013022111","산악기타","산기타","조난","외부요인","","부목 고정 후 요구조자 안전벨트이용하여 헬기로 인양. 보라매공원 동작구급대 인계.","54.75","-3.55","1.8","0","-8.75","0"
