"CommandName","CenterName","Date","Cause","Location","Distress","External.factors","Personal.Illness","Overview","total.Humi","total.temp","total.wind","total.rain","total.dew","total.snow"
"경북소방본부","구.소방항공구조대","2013010616","실족추락","능선","조난","외부요인","","상기장소 강봉구등산객이 하산중 축하여 있는것을 지나가던 등산객이 발견하여 119에 신고한 상황으로 항공대 현장 수색하여 요구조자 발견 항공구조대원 3명 레펠하강 요구조자 구조후 상람구급대에 인계조치함. 인계후 항공대는 김천 황악산 출동에 임함.","30.5","0","2","0","-13.15","0"
"경북소방본부","구.소방항공구조대","2013010617","개인(급.만성)질환","능선","조난","외부요인","","구미 금오산 구조완료 17:10후 김천 황악산 구조 재출동함. 요구조자는 하산중 양다리 경련으로 119신고함./n현장 발견후 항공구조대원 1명 호이스트 이용 하강후 요구조자 1명 안전하게 인양, 김천 운동장 주차장에서 구조대 구급차량 인계조치후 안전하게 귀대함.","31.5","-0.9","3.6","0","-13.65","0"
"경북소방본부","구.소방항공구조대","2013011316","산악기타","정상","조난","외부요인","","소백산 비로봉에 탈진으로 인한 다리 경련환자 있다는 접보후 출동하여 구조대원 1명이 레펠로 환자에게 접근하여 요구조자 안전벨트 이용, 호이스트로 안전하게 구조 후 영주 안정비행장에 있는 가흥119구급대에 안전하게 인계함.","57","2.55","3.35","0","-2.6","0"
"경북소방본부","구.소방항공구조대","2013022809","산악기타","능선","","외부요인","","산악구조 접보 후 영주 안전비행장에서 영주구조대원과 경찰 탑승후 소백산 능선에 도착하여 동사추정자 인양후 영주 안정비행장에서 구급대 인계함.","44","6.5","0.9","0","-7.1","0"
"경북소방본부","구.소방항공구조대","2013030209","산악기타","능선","조난","","","상기 장소 사고 접보후 출동하여 현장에 있던 김천구조대와 연계하여 안전하게 호이스트 인양하여 김천종합운동장에 대기하고 있던 대광119구급대에 안전하게 인계함.","45.5","-3","3.4","0","-10.5","0"
"경북소방본부","구.소방항공구조대","2013031217","산악기타","정상","","외부요인","","상기 장소에 요구조자가 산행중 미끄러져 우측발목골절로 인해 산행을 할수없어 119에 신고한 사고로 항공구조대 현장도착하여 구조대원이 로프를 이용하여 하강 한바 상주구조대가 응급처치를 한 상태로 요구조자벨트를 이용하여 견인후 상주북천둔치에 대기중인 구급대에게 인계함 ","16.5","16","3.55","0","-6.9","0"
"경북소방본부","구.소방항공구조대","2013031612","산악기타","계곡","","외부요인","","상기 장소에 요구조자가 등산중 넘어져 좌측족관절부위 통증으로 등산을 할수없어 119신고한 사고로  항공구조대원이 현장도착하여 레펄로 하강한바 상주구조대가 응급처치한 상태로 요구조자벨트를 이용하여 견인후 상주공설보조운동장에 대기중인 상주구급대에게 인계함","10.5","11.95","1.65","0","-16.6","0"
"경북소방본부","구.소방항공구조대","2013031616","산악기타","산기타","","외부요인","","상기 장소에 요구조자가 등산중 미끄러져 6m 굴러 두부출혈과 우측하지 통증으로 119신고한 사고로  항공구조대원이 현장도착하여 레펄로 하강한바 상주구조대가 응급처치한 상태로 요구조자벨트를 이용하여 견인후 상주공설보조운동장에 대기중인 상주구급대에게 인계함","8","13.35","2.85","0","-16.7","0"
"경북소방본부","구.소방항공구조대","2013032115","산악기타","계곡","조난","외부요인","","구미 금오산 다리골절환자 있다는 신고접보 후 구미넥스원에서 구미 구조대원 3명 탑승하여 금오산 정상 헬기장에 착륙, 구조대원 1명과 구미직원 3명이 도보로 요구조자에게 접근하여 환자 부목고정으로 응급처치 후 헬기 호이스트 이용하여 안전하게 구조함./n구조 후 넥스원에 대기하고 있던 구미구급대에 안전하게 인계함.","15","8.9","2.05","0","-14.5","0"
"경북소방본부","구.소방항공구조대","2013032415","산악기타","정상","조난","외부요인","","상기 장소에 요구조자가 등산중 다리경련으로 더이상 산행을 할수없어 119에 신고한 사고로 항공구조대원이 현장도착하여 레펠로 하강한바 청도구조대가 응급처치한 상태로 항공구조대원은 요구조자벨트를 이용하여 호이스트로 견인 후 청도공설운동장에 대기중인 청도구급대에게 인계함","30.5","10.45","3.75","0","-3.5","0"
"경북소방본부","구.소방항공구조대","2013032815","실족추락","산기타","","외부요인","","상황실로부터 추락사망자 이송요청으로 항공대원은 출동하여 안정리비행장에 대기중인 영주구조대원2명을 태워 현장접근하여 레펠로 하강한바 현장에 경찰감식요원이 감식한상태로 요구조자를 다목적들것으로 인양후 영주구급대에 인계후 귀대함","26","16.2","2","0","-0.7","0"
